OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
66631,SPEEDWAY #3589,I-96,Lake Odessa,MI,SPEEDWAY #3589 Lake Odessa MI ,42.7847564,-85.1383367,342,3.599
69562,SPEEDWAY #8796,"I-496, EXIT 11",Lansing,MI,SPEEDWAY #8796 Lansing MI ,42.7335993,-84.5538664,406,3.699
67307,CMS FUELING CENTER,I-69 EXIT 153 AT MILE 153,Lapeer,MI,CMS FUELING CENTER Lapeer MI ,43.0349517,-83.3608263,342,3.899
65919,QUICK FUEL #5001,US-78/SR-4,Memphis,TN,QUICK FUEL #5001 Memphis TN ,35.0354135,-89.9118817,435,3.02566666
64082,SPEEDWAY #8797,SR-13,Lennon,MI,SPEEDWAY #8797 Lennon MI ,42.9835647,-83.9282186,342,3.379
64494,QUICK FUEL #1704,I-75 EXIT 42 AT MILE 42,Lincoln Park,MI,QUICK FUEL #1704 Lincoln Park MI ,42.2652496,-83.1745931,325,3.669
64494,QUICK FUEL #1704,I-75 EXIT 42 AT MILE 42,Lincoln Park,MI,QUICK FUEL #1704 Lincoln Park MI ,42.2652496,-83.1745931,325,3.619
64495,QUICK FUEL #1702,"I-96, EXIT 173",Livonia,MI,QUICK FUEL #1702 Livonia MI ,42.378021,-83.4033769,325,3.799
68893,J & H FAMILY STORE,"I-96, EXIT 52 & SR-50",Lowell,MI,J & H FAMILY STORE Lowell MI ,42.9336426,-85.3419609,371,3.789
66525,BP,"I-76, EXIT 6",Luna Pier,MI,BP Luna Pier MI ,41.8105246,-83.4474207,550,3.399
66056,PILOT TRAVEL CENTERS #114,"I-40, EXIT 320",Crossville,TN,PILOT TRAVEL CENTERS #114 Crossville TN ,35.9857961,-85.0116688,405,3.24566666
66059,TIME OUT TRAVEL CENTER,"I-40, EXIT 432-B",Newport,TN,TIME OUT TRAVEL CENTER Newport TN ,35.9678437,-83.1934156,405,2.96566666
66525,BP,"I-76, EXIT 6",Luna Pier,MI,BP Luna Pier MI ,41.8105246,-83.4474207,550,3.499
66078,Amoco,I-40 EXIT 447,Hartford,TN,Amoco Hartford TN ,35.8169203,-83.1415095,405,3.099
60333,LAKESHORE BP,US-2,Manistique,MI,LAKESHORE BP Manistique MI ,45.950974,-86.258066,287,3.499
